Task_ID,User_ID,User_Clearance,Policy_Level,Policy_Compartment,Action,Task_Difficulty,Requested_Resources,Decision,Reason,VM_ID,VM_Level,VM_Compartment,Eligible_VM_Count,Allocation_Score,In_Place_Scaled,Resource_Allocated,VM_Remaining_Resources_After,Alloc_Status_Key
149,user_L5,L5,L5,research,read,medium,5,ALLOWED,GRANTED,vm-18,L5,research,2,0.17041,no,5,151,alloc_status_149
150,user_L0,L0,L0,research,exec,easy,3,ALLOWED,GRANTED,vm-07,L0,research,1,0.080225,no,3,222,alloc_status_150
151,user_L1,L1,L1,finance,write,easy,3,ALLOWED,GRANTED,vm-20,L1,finance,1,0.089315,no,3,195,alloc_status_151
152,user_L2,L2,L2,research,read,easy,3,ALLOWED,GRANTED,vm-09,L2,research,1,0.10434,no,3,188,alloc_status_152
153,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.24948,no,8,109,alloc_status_153
154,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.191575,no,4,140,alloc_status_154
155,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.170665,no,4,120,alloc_status_155
156,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-13,L0,finance,2,-0.01617,no,2,261,alloc_status_156
157,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-14,L1,research,2,0.04645,no,3,237,alloc_status_157
158,user_L2,L2,L2,finance,read,easy,4,ALLOWED,GRANTED,vm-15,L2,finance,2,0.053035,no,4,217,alloc_status_158
159,user_L3,L3,L3,research,exec,medium,7,ALLOWED,GRANTED,vm-16,L3,research,2,0.16284,no,7,158,alloc_status_159
160,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-17,L4,finance,2,0.113455,no,5,163,alloc_status_160
161,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-18,L5,research,2,0.180225,no,4,147,alloc_status_161
162,user_L0,L0,L0,research,exec,easy,3,ALLOWED,GRANTED,vm-07,L0,research,1,0.0861,no,3,219,alloc_status_162
163,user_L1,L1,L1,finance,write,easy,4,ALLOWED,GRANTED,vm-20,L1,finance,1,0.09519,no,4,191,alloc_status_163
164,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.110215,no,4,184,alloc_status_164
165,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.265155,no,8,101,alloc_status_165
166,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.1994,no,4,136,alloc_status_166
167,user_L5,L5,L5,finance,read,medium,5,ALLOWED,GRANTED,vm-12,L5,finance,1,0.178475,no,5,115,alloc_status_167
168,user_L0,L0,L0,finance,read,easy,3,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.014115,no,3,240,alloc_status_168
169,user_L1,L1,L1,research,write,medium,5,ALLOWED,GRANTED,vm-02,L1,research,2,0.05059,no,5,205,alloc_status_169
170,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.060555,no,3,202,alloc_status_170
171,user_L3,L3,L3,research,exec,medium,9,ALLOWED,GRANTED,vm-04,L3,research,2,0.16602,no,9,150,alloc_status_171
172,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-05,L4,finance,2,0.116685,no,5,165,alloc_status_172
173,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-06,L5,research,2,0.181055,no,4,141,alloc_status_173
174,user_L0,L0,L0,research,exec,easy,3,ALLOWED,GRANTED,vm-07,L0,research,1,0.091975,no,3,216,alloc_status_174
175,user_L1,L1,L1,finance,write,easy,3,ALLOWED,GRANTED,vm-20,L1,finance,1,0.103,no,3,188,alloc_status_175
176,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.11806,no,4,180,alloc_status_176
177,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.28081,no,8,93,alloc_status_177
178,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.207245,no,5,131,alloc_status_178
179,user_L5,L5,L5,finance,read,medium,5,ALLOWED,GRANTED,vm-12,L5,finance,1,0.18829,no,5,110,alloc_status_179
180,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-13,L0,finance,2,-0.012245,no,2,259,alloc_status_180
181,user_L1,L1,L1,research,write,easy,4,ALLOWED,GRANTED,vm-14,L1,research,2,0.052325,no,4,233,alloc_status_181
182,user_L2,L2,L2,finance,read,easy,4,ALLOWED,GRANTED,vm-15,L2,finance,2,0.06088,no,4,213,alloc_status_182
183,user_L3,L3,L3,research,exec,medium,8,ALLOWED,GRANTED,vm-16,L3,research,2,0.17654,no,8,150,alloc_status_183
184,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-17,L4,finance,2,0.12327,no,4,159,alloc_status_184
185,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-18,L5,research,2,0.188035,no,4,143,alloc_status_185
186,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.09785,no,4,212,alloc_status_186
187,user_L1,L1,L1,finance,write,easy,4,ALLOWED,GRANTED,vm-20,L1,finance,1,0.108875,no,4,184,alloc_status_187
188,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.125885,no,4,176,alloc_status_188
189,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.2965,no,8,85,alloc_status_189
190,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.217025,no,5,126,alloc_status_190
191,user_L5,L5,L5,finance,read,medium,5,ALLOWED,GRANTED,vm-12,L5,finance,1,0.19807,no,5,105,alloc_status_191
192,user_L0,L0,L0,finance,read,easy,3,ALLOWED,GRANTED,vm-13,L0,finance,2,-0.008305,no,3,256,alloc_status_192
193,user_L1,L1,L1,research,write,easy,4,ALLOWED,GRANTED,vm-14,L1,research,2,0.06015,no,4,229,alloc_status_193
194,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.06643,no,3,199,alloc_status_194
195,user_L3,L3,L3,research,exec,medium,7,ALLOWED,GRANTED,vm-04,L3,research,2,0.183645,no,7,143,alloc_status_195
196,user_L4,L4,L4,finance,read,easy,3,ALLOWED,GRANTED,vm-05,L4,finance,2,0.1265,no,3,162,alloc_status_196
197,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-06,L5,research,2,0.188865,no,4,137,alloc_status_197
198,user_L0,L0,L0,research,exec,easy,2,ALLOWED,GRANTED,vm-07,L0,research,1,0.10566,no,2,210,alloc_status_198
199,user_L1,L1,L1,finance,write,medium,5,ALLOWED,GRANTED,vm-20,L1,finance,1,0.116735,no,5,179,alloc_status_199
200,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.133695,no,4,172,alloc_status_200
201,user_L3,L3,L3,finance,exec,medium,7,ALLOWED,GRANTED,vm-10,L3,finance,1,0.312175,no,7,78,alloc_status_201
202,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.226825,no,4,122,alloc_status_202
